Ingredient,Substitute 1,Substitute 2,Calories,Protein (g),Fat (g),Carbs (g),Sugar (g),Sodium (mg),Cholesterol (mg)
"SALT,TABLE","SOUP,BF BROTH OR BOUILLON,PDR,DRY","SOUP,CHICK BROTH CUBES,DRY",220.44504478885256,12.224862426035504,10.740682790148947,28.47822187560928,12.175499856774563,38758.0,76.69220283533261
"VINEGAR,CIDER","VINEGAR,DISTILLED","EGG SUB,LIQ OR FRZ,FAT FREE",21.0,12.224862426035504,10.740682790148947,0.93,0.4,5.0,76.69220283533261
"THYME,FRSH","ROSEMARY,FRESH","YOGURT,FRZ,FLAVORS NOT CHOC,NONFAT MILK,W/ LOW-CALORIE SWTNR",101.0,5.56,1.68,24.45,12.175499856774563,9.0,76.69220283533261
VANILLA EXTRACT,"CREAM SUB,LIQ,W/LAURIC ACID OIL&NA CASEINATE","CREAM SUB,LIQ,W/HYDR VEG OIL&SOY PROT",288.0,0.06,0.06,12.65,12.65,9.0,76.69220283533261
"VANILLA EXTRACT,IMITN,ALCOHOL","CREAM SUB,LIQ,W/LAURIC ACID OIL&NA CASEINATE","CREAM SUB,LIQ,W/HYDR VEG OIL&SOY PROT",237.0,0.05,10.740682790148947,2.41,12.175499856774563,4.0,76.69220283533261
"VANILLA EXTRACT,IMITN,NO ALCOHOL","VINEGAR,BALSAMIC","CREAM SUB,LIQ,W/LAURIC ACID OIL&NA CASEINATE",56.0,0.03,10.740682790148947,14.4,14.4,3.0,76.69220283533261
"VINEGAR,DISTILLED","VINEGAR,CIDER","EGG SUB,LIQ OR FRZ,FAT FREE",18.0,12.224862426035504,10.740682790148947,0.04,0.04,2.0,76.69220283533261
"CAPERS,CANNED","SAUCE,RTS,PEPPER OR HOT","MUSTARD,PREPARED,YELLOW",23.0,2.36,0.86,4.89,0.41,2964.0,76.69220283533261
"HORSERADISH,PREPARED","CAMPBELL,PREGO PASTA,CHNKY GRD MSHRM & GRN PPPR ITAL SAU,RTS","SOUP,TOMATO,CND,COND",48.0,1.18,0.69,11.29,7.99,314.0,76.69220283533261
"ROSEMARY,FRESH","THYME,FRSH","PEPPERMINT,FRESH",131.0,3.31,5.86,20.7,12.175499856774563,26.0,76.69220283533261
"PEPPERMINT,FRESH","SPEARMINT,FRESH","SALAD DRSNG,MAYO,IMITN,MILK CRM",70.0,3.75,0.94,14.89,12.175499856774563,31.0,76.69220283533261
"SPEARMINT,FRESH","DILL WEED,FRSH","MILK SUBSTITUTES,FLUID,W/LAURIC ACID OIL",44.0,3.29,0.73,8.41,12.175499856774563,30.0,76.69220283533261
"SPEARMINT,DRIED","DILL WEED,DRIED","SPICES,TARRAGON,DRIED",285.0,19.93,6.03,52.04,12.175499856774563,344.0,76.69220283533261
"VINEGAR,RED WINE","SOUP,BF BROTH BOUILLON & CONSOMME,CND,COND","GRAVY,AU JUS,CANNED",19.0,0.04,10.740682790148947,0.27,12.175499856774563,8.0,76.69220283533261
"VINEGAR,BALSAMIC","VANILLA EXTRACT,IMITN,NO ALCOHOL","CREAM SUB,LIQ,W/LAURIC ACID OIL&NA CASEINATE",88.0,0.49,10.740682790148947,17.03,14.95,23.0,76.69220283533261
"CAMPBELL SOUP CO,PACE,DRY TACO SEAS MIX","GRAVY,UNSPEC TYPE,DRY","GRAVY,PORK,DRY,PDR",188.0,12.224862426035504,10.740682790148947,56.29,18.76,8068.0,76.69220283533261
GERBER GRADUATES FRUIT STRIPS REAL FRUIT BARS,"WHEY,ACID,DRIED","WHEY,SWEET,DRIED",330.0,0.82,2.24,76.61,68.65,14.0,76.69220283533261
ZWIEBACK,"SPICES,BAY LEAF","SPICES,CARDAMOM",426.0,10.1,9.7,74.2,12.5,227.0,8.0
"CHILD FORMULA,MEAD JOHNSON,PORTAGEN,W/ IRON,PDR,NOT RECON","In for, M JOHN, ENF, ENFAC LIP, with ir, po, wi ARA and DH","MILK,CND,COND,SWTND",483.0,16.5,22.0,54.8,54.0,260.0,4.0
"CHILD FORMULA,MEAD JOHNSON,PORTAGEN,W/ IRON,PREP FROM PDR","CHI FORMU,ABBT NUTR,PEDIASU,RTF,W/ IRON & FIB (FORMER ROSS)","TODDLER FORMULA, MEAD JOHNSON, ENFAGROW PREMIUM, RTF",88.0,3.33,4.48,8.57,7.4,52.0,1.0
"In for, M JOHN, ENF, ENFAC LIP, with ir, po, wi ARA and DH","CHILD FORMULA,MEAD JOHNSON,PORTAGEN,W/ IRON,PDR,NOT RECON","DESSERT TOPPING,POWDERED",514.0,12.5,27.0,56.0,51.0,173.0,16.0
"CHILD FORMULA,ABBOTT NUTR,PEDIASURE,RTF (FORMERLY ROSS)","MILK,CHOC,FLUID,COMM,WHL,W/ ADDED VIT A & VITAMIN D","MILK,CHOC BEV,HOT COCOA,HOMEMADE",99.0,2.86,4.77,11.15,10.5,36.0,2.0
"CHI FORMU,ABBT NUTR,PEDIASU,RTF,W/ IRON & FIB (FORMER ROSS)","CHILD FORMULA,MEAD JOHNSON,PORTAGEN,W/ IRON,PREP FROM PDR",KRAFT BREYERS LT NONFAT STR'BERY YOGURT (W/ASPRT&FRUCT SW'T),99.0,2.8,4.7,11.28,7.6,36.0,2.0
"TODDLER FORMULA, MEAD JOHNSON, ENFAGROW PREMIUM, RTF","MILK,HUMAN,MATURE,FLUID","CHILD FORMULA,MEAD JOHNSON,PORTAGEN,W/ IRON,PREP FROM PDR",64.0,1.78,3.63,7.18,7.18,25.0,1.0
"FAT,BEEF TALLOW","FAT,MUTTON TALLOW","FAT,TURKEY",902.0,12.224862426035504,100.0,28.47822187560928,12.175499856774563,329.0420451215939,109.0
LARD,"SHORTENING FRYING (HVY DUTY),BF TALLOW&CTTNSD","FAT,GOOSE",902.0,12.224862426035504,100.0,28.47822187560928,12.175499856774563,329.0420451215939,95.0
"SALAD DRSNG,KRAFT MAYO LT MAYO","SALAD DRSNG,MAYO,LT","SALAD DRSNG,MAYO,LT,SMART BALANCE,OMEGA PLUS LT",334.0,0.6,32.9,8.5,4.2,633.0,35.0
"SALAD DRSNG,KRAFT MAYO FAT FREE MAYO DRSNG","CAMPBELL SOUP COMPANY,HEALTHY REQUEST,CRM OF CHICK SOUP,COND","SOUP,TOMATO RICE,CND,COND",70.0,0.2,2.7,12.4,6.8,750.0,10.0
"SALAD DRSNG,KRAFT MIRACLE WHIP FREE NONFAT DRSNG","SOUP,TOMATO BISQUE,CND,COND","SOUP,TOMATO BF W/ NOODLE,CND,COND",84.0,0.2,2.7,15.5,10.3,788.0,9.0
"SALAD DRSNG,RUSSIAN DRSNG","SANDWICH SPRD,W/CHOPD PICKLE,REG,UNSPEC OILS","SALAD DRSNG,FRENCH DRSNG,RED FAT",355.0,0.69,26.18,31.9,17.68,1133.0,76.69220283533261
"SALAD DRSNG,SESAME SD DRSNG,REG","SALAD DRSNG,MAYO,IMITN,SOYBN WO/CHOL","SALAD DRSNG,MAYO,LT,SMART BALANCE,OMEGA PLUS LT",443.0,3.1,45.2,8.6,8.32,1000.0,76.69220283533261
"SALAD DRSNG,1000 ISLAND,COMM,REG","SANDWICH SPRD,W/CHOPD PICKLE,REG,UNSPEC OILS","SALAD DRSNG,FRENCH DRSNG,COMM,REG",370.0,1.09,35.06,14.64,15.18,863.0,26.0
"SALAD DRSNG,MAYO TYPE,REG,W/SALT","SALAD DRSNG,MAYO,IMITN,SOYBN WO/CHOL","SALAD DRSNG,MAYO,IMITN,SOYBN",390.0,0.9,33.4,23.9,6.4,711.0,26.0
"SALAD DRSNG,FRENCH DRSNG,RED FAT","SALAD DRSNG,HONEY MUSTARD DRSNG,RED CAL","SALAD DRSNG,FRENCH DRSNG,FAT-FREE",222.0,0.58,11.52,31.22,16.86,838.0,76.69220283533261
"SALAD DRSNG,ITALIAN DRSNG,RED FAT","SOUP,MUSHROOM W/ BF STOCK,CND,COND","SOUP,CRM OF ONION,CND,COND",75.0,0.47,6.38,4.57,4.55,1074.0,6.0
"SALAD DRSNG,RUSSIAN DRSNG,LO CAL","MILK SHAKES,THICK CHOC","MILK DSSRT BAR,FRZ,MADE FROM LOWFAT MILK",141.0,0.5,4.0,27.6,21.87,868.0,6.0
"SALAD DRSNG,1000 ISLAND DRSNG,RED FAT","SALAD DRSNG,1000 ISLAND DRSNG,FAT-FREE","SALAD DRSNG,HONEY MUSTARD DRSNG,RED CAL",195.0,0.83,11.32,24.06,17.31,955.0,11.0
"SALAD DRSNG,MAYO,SOYBN OIL,W/SALT","SALAD DRSNG,MAYO,SOYBN&SAFFLOWER OIL,W/SALT","BUTTER,WITH SALT",718.0,0.9,79.39,3.16,1.08,568.0,38.0
"SALAD DRSNG,MAYO,SOYBN&SAFFLOWER OIL,W/SALT","SALAD DRSNG,MAYO,SOYBN OIL,W/SALT","BUTTER,WITH SALT",717.0,1.1,79.4,2.7,0.48,568.0,59.0
"SALAD DRSNG,MAYO,IMITN,SOYBN","SAUCE,HOMEMADE,WHITE,THICK","SALAD DRSNG,RANCH DRSNG,RED FAT",232.0,0.3,19.2,16.0,6.0,497.0,24.0
"SALAD DRSNG,MAYO,IMITN,MILK CRM","SOUP,MUSHROOM BARLEY,CND,COND","SOUP,CHS,CND,PREP W/ EQ VOLUME MILK",97.0,2.1,5.1,11.1,12.175499856774563,504.0,43.0
"SALAD DRSNG,MAYO,IMITN,SOYBN WO/CHOL","SALAD DRSNG,SESAME SD DRSNG,REG","SALAD DRSNG,RANCH DRSNG,COMM,REG",482.0,0.1,47.7,15.8,6.0,353.0,76.69220283533261
"SANDWICH SPRD,W/CHOPD PICKLE,REG,UNSPEC OILS","SALAD DRSNG,HONEY MUSTARD,REG","SALAD DRSNG,1000 ISLAND,COMM,REG",389.0,0.9,34.0,22.4,15.18,1000.0,76.0
"SHORTENING,HOUSEHOLD,PARTIALLY HYDROG SOYBN -COTTONSEED","OIL,SOYBN,SALAD OR COOKING","OIL,BABASSU",884.0,12.224862426035504,100.0,28.47822187560928,12.175499856774563,329.0420451215939,76.69220283533261
"OIL,SOYBN,SALAD OR COOKING,(PARTIALLY HYDROGENATED)","OIL,SOYBN,SALAD OR COOKING","OIL,BABASSU",884.0,12.224862426035504,100.0,28.47822187560928,12.175499856774563,329.0420451215939,76.69220283533261
"OIL,RICE BRAN","OIL,SOYBN,SALAD OR COOKING","OIL,BABASSU",884.0,12.224862426035504,100.0,28.47822187560928,12.175499856774563,329.0420451215939,76.69220283533261
"OIL,WHEAT GERM","OIL,SOYBN,SALAD OR COOKING","OIL,BABASSU",884.0,12.224862426035504,100.0,28.47822187560928,12.175499856774563,329.0420451215939,76.69220283533261
"OIL,PNUT,SALAD OR COOKING","OIL,SOYBN,SALAD OR COOKING","OIL,BABASSU",884.0,12.224862426035504,100.0,28.47822187560928,12.175499856774563,329.0420451215939,76.69220283533261
"OIL,SOYBN,SALAD OR COOKING","OIL,PNUT,SALAD OR COOKING","OIL,BABASSU",884.0,12.224862426035504,100.0,28.47822187560928,12.175499856774563,329.0420451215939,76.69220283533261
"OIL,COCNT","VEGETABLE OIL,PALM KERNEL","SHORTENING,HOUSEHOLD,PARTIALLY HYDROG SOYBN -COTTONSEED",862.0,12.224862426035504,100.0,28.47822187560928,12.175499856774563,329.0420451215939,76.69220283533261
"OIL,OLIVE,SALAD OR COOKING","SHORTENING,VEG,HOUSEHOLD,COMP","OIL,INDUSTRIAL,COCNT,CONFECTION FAT,ICE CRM COATINGS",884.0,12.224862426035504,100.0,28.47822187560928,12.175499856774563,2.0,76.69220283533261
"OIL,PALM","OIL,PNUT,SALAD OR COOKING","OIL,HAZELNUT",884.0,12.224862426035504,100.0,28.47822187560928,12.175499856774563,329.0420451215939,76.69220283533261
"OIL,SESAME,SALAD OR COOKING","OIL,PNUT,SALAD OR COOKING","OIL,HAZELNUT",884.0,12.224862426035504,100.0,28.47822187560928,12.175499856774563,329.0420451215939,76.69220283533261
"OIL,SUNFLOWER,LINOLEIC (LESS THAN 60%)","OIL,PNUT,SALAD OR COOKING","OIL,HAZELNUT",884.0,12.224862426035504,100.0,28.47822187560928,12.175499856774563,329.0420451215939,76.69220283533261
"MARGARINE,REG,HARD,SOYBN (HYDR)","MARGARINE,INDUS,SOY & PART HYDR SOY OIL,BAKING,SAUCES,CANDY","MARGARINE,REG,80% FAT,COMP,STK,W/ SALT,W/ ADDED VITAMIN D",719.0,0.9,80.5,0.9,12.175499856774563,943.0,76.69220283533261
"SALAD DRSNG,ITALIAN DRSNG,COMM,REG","SALAD DRSNG,ITALIAN DRSNG,COMM,REG,WO/ SALT","SALAD DRSNG,MAYO,LT,SMART BALANCE,OMEGA PLUS LT",291.0,0.38,28.37,10.43,8.32,1018.0,76.69220283533261
"SALAD DRSNG,FRENCH DRSNG,COMM,REG","SALAD DRSNG,FRENCH DRSNG,COMM,REG,WO/ SALT","SALAD DRSNG,1000 ISLAND,COMM,REG",457.0,0.77,44.81,15.58,15.95,836.0,76.69220283533261
"VEG OIL SPRD,UNSPEC OILS,APPROX 37% FAT,W/ SALT","VEG OIL SPRD,37% FAT,UNSPEC OILS,W/ SALT,W/ ADDED VITAMIN D","MARGARINE-LIKE SPRD,SMART BALANCE LT BUTTERY SPRD",339.0,0.51,37.77,0.66,12.175499856774563,589.0,76.69220283533261
"SALAD DRSNG,FRENCH,HOME RECIPE","SALAD DRSNG,FRENCH,CTTNSD,OIL,HOME RECIPE","MARGARINE, VEG OIL SPRD,70% FAT,SOYBN & PART HYDR SOYBN,STK",631.0,0.1,70.2,3.4,12.175499856774563,658.0,76.69220283533261
"SALAD DRSNG,HOME RECIPE,CKD","CAMPBELL SOUP COMPANY,RED&WHITE,25% LESS NA TOMATO SOUP,COND","MILK,CND,EVAP,WO/ ADDED VIT A & VITAMIN D",157.0,4.2,9.5,14.9,9.07,734.0,57.0
"SALAD DRSNG,HOME RECIPE,VINEGAR&OIL","CHEESE,CREAM","CHEESE,GOAT,SEMISOFT TYPE",449.0,12.224862426035504,50.1,2.5,2.5,1.0,76.69220283533261
"SALAD DRSNG,FRENCH DRSNG,COMM,REG,WO/ SALT","SALAD DRSNG,FRENCH DRSNG,COMM,REG","SALAD DRSNG,HONEY MUSTARD,REG",459.0,0.77,44.81,15.58,15.95,329.0420451215939,76.69220283533261
"SALAD DRSNG,FRENCH DRSNG,RED FAT,WO/ SALT","CREAM SUB,FLAV,LIQ","DESSERT TOPPING,SEMI SOLID,FRZ",233.0,0.58,13.46,29.28,28.45,30.0,76.69220283533261
"SALAD DRSNG,ITALIAN DRSNG,COMM,REG,WO/ SALT","CREAM,WHIPPED,CRM TOPPING,PRESSURIZED","SALAD DRSNG,ITALIAN DRSNG,COMM,REG",292.0,0.38,28.37,10.43,8.32,30.0,67.0
"SALAD DRSNG,ITALIAN DRSNG,RED FAT,WO/ SALT","MILK,LO NA,FLUID","MILK,WHL,3.25% MILKFAT,WO/ ADDED VIT A & VITAMIN D",76.0,0.47,6.38,4.57,4.55,30.0,6.0
"SALAD DRSNG,MAYO,SOYBN OIL,WO/SALT","MARGARINE,REG,80% FAT,COMP,TUB,WO/ SALT","MARGARINE,REG,80% FAT,COMP,STK,WO/ SALT,W/ ADDED VITAMIN D",717.0,1.1,79.4,2.7,12.175499856774563,30.0,59.0
"SALAD DRSNG,FRENCH,CTTNSD,OIL,HOME RECIPE","SALAD DRSNG,FRENCH,HOME RECIPE","MARGARINE, VEG OIL SPRD,70% FAT,SOYBN & PART HYDR SOYBN,STK",631.0,0.1,70.2,3.4,12.175499856774563,658.0,76.69220283533261
"SALAD DRSNG,FRENCH DRSNG,FAT-FREE","SALAD DRSNG,1000 ISLAND DRSNG,FAT-FREE","SALAD DRSNG,FRENCH DRSNG,RED FAT",132.0,0.2,0.27,32.14,16.45,853.0,76.69220283533261
"OIL,COCOA BUTTER","OIL,PNUT,SALAD OR COOKING","SHORTENING FRYING HVY DUTY,SOYBN HYDR,LINOLEIC (LESS THAN 1%",884.0,12.224862426035504,100.0,28.47822187560928,12.175499856774563,329.0420451215939,76.69220283533261
"OIL,CTTNSD,SALAD OR COOKING","OIL,PNUT,SALAD OR COOKING","SHORTENING FRYING HVY DUTY,SOYBN HYDR,LINOLEIC (LESS THAN 1%",884.0,12.224862426035504,100.0,28.47822187560928,12.175499856774563,329.0420451215939,76.69220283533261
"OIL,SUNFLOWER,LINOLEIC,(APPROX. 65%)","OIL,PNUT,SALAD OR COOKING","SHORTENING FRYING HVY DUTY,SOYBN HYDR,LINOLEIC (LESS THAN 1%",884.0,12.224862426035504,100.0,28.47822187560928,12.175499856774563,329.0420451215939,76.69220283533261
"OIL,SAFFLOWER,SALAD OR COOKING,LINOLEIC,(OVER 70%)","OIL,PNUT,SALAD OR COOKING","SHORTENING FRYING HVY DUTY,SOYBN HYDR,LINOLEIC (LESS THAN 1%",884.0,12.224862426035504,100.0,28.47822187560928,12.175499856774563,329.0420451215939,76.69220283533261
"OIL,SAFFLOWER,SALAD OR COOKING,HI OLEIC","OIL,PNUT,SALAD OR COOKING","SHORTENING FRYING HVY DUTY,SOYBN HYDR,LINOLEIC (LESS THAN 1%",884.0,12.224862426035504,100.0,28.47822187560928,12.175499856774563,329.0420451215939,76.69220283533261
"VEGETABLE OIL,PALM KERNEL","OIL,COCNT","SHORTENING,HOUSEHOLD,PARTIALLY HYDROG SOYBN -COTTONSEED",862.0,12.224862426035504,100.0,28.47822187560928,12.175499856774563,329.0420451215939,76.69220283533261
"OIL,POPPYSEED","OIL,PNUT,SALAD OR COOKING","SHORTENING FRYING HVY DUTY,SOYBN HYDR,LINOLEIC (LESS THAN 1%",884.0,12.224862426035504,100.0,28.47822187560928,12.175499856774563,329.0420451215939,76.69220283533261
"OIL,TOMATOSEED","OIL,PNUT,SALAD OR COOKING","SHORTENING FRYING HVY DUTY,SOYBN HYDR,LINOLEIC (LESS THAN 1%",884.0,12.224862426035504,100.0,28.47822187560928,12.175499856774563,329.0420451215939,76.69220283533261
"OIL,TEASEED","OIL,PNUT,SALAD OR COOKING","SHORTENING FRYING HVY DUTY,SOYBN HYDR,LINOLEIC (LESS THAN 1%",884.0,12.224862426035504,100.0,28.47822187560928,12.175499856774563,329.0420451215939,76.69220283533261
"OIL,GRAPESEED","OIL,PNUT,SALAD OR COOKING","SHORTENING FRYING HVY DUTY,SOYBN HYDR,LINOLEIC (LESS THAN 1%",884.0,12.224862426035504,100.0,28.47822187560928,12.175499856774563,329.0420451215939,76.69220283533261
"OIL,CORN,INDUSTRIAL & RTL,ALLPURP SALAD OR COOKING","OIL,PNUT,SALAD OR COOKING","SHORTENING FRYING HVY DUTY,SOYBN HYDR,LINOLEIC (LESS THAN 1%",884.0,12.224862426035504,100.0,28.47822187560928,12.175499856774563,329.0420451215939,76.69220283533261
"FAT,MUTTON TALLOW","FAT,TURKEY","SHORTENING FRYING (HVY DUTY),BF TALLOW&CTTNSD",902.0,12.224862426035504,100.0,28.47822187560928,12.175499856774563,329.0420451215939,102.0
"OIL,WALNUT","OIL,PNUT,SALAD OR COOKING","SHORTENING FRYING HVY DUTY,SOYBN HYDR,LINOLEIC (LESS THAN 1%",884.0,12.224862426035504,100.0,28.47822187560928,12.175499856774563,329.0420451215939,76.69220283533261
"OIL,ALMOND","OIL,PNUT,SALAD OR COOKING","SHORTENING FRYING HVY DUTY,SOYBN HYDR,LINOLEIC (LESS THAN 1%",884.0,12.224862426035504,100.0,28.47822187560928,12.175499856774563,329.0420451215939,76.69220283533261
"OIL,APRICOT KERNEL","OIL,PNUT,SALAD OR COOKING","SHORTENING FRYING HVY DUTY,SOYBN HYDR,LINOLEIC (LESS THAN 1%",884.0,12.224862426035504,100.0,28.47822187560928,12.175499856774563,329.0420451215939,76.69220283533261
"OIL,SOYBN LECITHIN","OIL,COCNT","VEGETABLE OIL,PALM KERNEL",763.0,12.224862426035504,100.0,28.47822187560928,12.175499856774563,329.0420451215939,76.69220283533261
"OIL,HAZELNUT","OIL,PNUT,SALAD OR COOKING","SHORTENING FRYING HVY DUTY,SOYBN HYDR,LINOLEIC (LESS THAN 1%",884.0,12.224862426035504,100.0,28.47822187560928,12.175499856774563,329.0420451215939,76.69220283533261
"OIL,BABASSU","OIL,PNUT,SALAD OR COOKING","SHORTENING FRYING HVY DUTY,SOYBN HYDR,LINOLEIC (LESS THAN 1%",884.0,12.224862426035504,100.0,28.47822187560928,12.175499856774563,329.0420451215939,76.69220283533261
"OIL,SHEANUT","OIL,PNUT,SALAD OR COOKING","SHORTENING FRYING HVY DUTY,SOYBN HYDR,LINOLEIC (LESS THAN 1%",884.0,12.224862426035504,100.0,28.47822187560928,12.175499856774563,329.0420451215939,76.69220283533261
"SALAD DRSNG,BLUE OR ROQUEFORT CHS DRSNG,COMM,REG","SALAD DRSNG,RANCH DRSNG,COMM,REG","SALAD DRSNG,SESAME SD DRSNG,REG",476.0,1.37,51.1,4.62,3.48,1041.0,31.0
"OIL,CUPU ASSU","OIL,PNUT,SALAD OR COOKING","SHORTENING FRYING HVY DUTY,SOYBN HYDR,LINOLEIC (LESS THAN 1%",884.0,12.224862426035504,100.0,28.47822187560928,12.175499856774563,329.0420451215939,76.69220283533261
"FAT,CHICKEN","OIL,INDUSTRIAL,CANOLA,HI OLEIC","OIL,INDUSTRIAL,SOY,LO LINOLENIC",900.0,12.224862426035504,99.8,28.47822187560928,12.175499856774563,329.0420451215939,85.0
"OIL,SOYBN,SALAD OR COOKING,(PARTIALLY HYDROGENATED) & CTTNSD","OIL,PNUT,SALAD OR COOKING","SHORTENING FRYING HVY DUTY,SOYBN HYDR,LINOLEIC (LESS THAN 1%",884.0,12.224862426035504,100.0,28.47822187560928,12.175499856774563,329.0420451215939,76.69220283533261
"SHORTENING,HOUSEHOLD,LARD&VEG OIL","SHORTENING INDUSTRIAL,LARD&VEG OIL","OIL,INDUSTRIAL,CANOLA,HI OLEIC",900.0,12.224862426035504,100.0,28.47822187560928,12.175499856774563,329.0420451215939,56.0
"OIL,SUNFLOWER,LINOLEIC,(PARTIALLY HYDROGENATED)","OIL,PNUT,SALAD OR COOKING","SHORTENING FRYING HVY DUTY,SOYBN HYDR,LINOLEIC (LESS THAN 1%",884.0,12.224862426035504,100.0,28.47822187560928,12.175499856774563,329.0420451215939,76.69220283533261
"SHORTENING BREAD,SOYBN (HYDR)&CTTNSD","OIL,PNUT,SALAD OR COOKING","SHORTENING FRYING HVY DUTY,SOYBN HYDR,LINOLEIC (LESS THAN 1%",884.0,12.224862426035504,100.0,28.47822187560928,12.175499856774563,329.0420451215939,76.69220283533261
"SHORTENING CAKE MIX,SOYBN (HYDR)&CTTNSD (HYDR)","OIL,PNUT,SALAD OR COOKING","SHORTENING FRYING HVY DUTY,SOYBN HYDR,LINOLEIC (LESS THAN 1%",884.0,12.224862426035504,100.0,28.47822187560928,12.175499856774563,329.0420451215939,76.69220283533261
"SHORTENING INDUSTRIAL,LARD&VEG OIL","SHORTENING,HOUSEHOLD,LARD&VEG OIL","OIL,INDUSTRIAL,CANOLA,HI OLEIC",900.0,12.224862426035504,100.0,28.47822187560928,12.175499856774563,329.0420451215939,56.0
"SHORTENING FRYING (HVY DUTY),BF TALLOW&CTTNSD","FAT,GOOSE","FAT,TURKEY",900.0,12.224862426035504,100.0,28.47822187560928,12.175499856774563,329.0420451215939,100.0
"SHORTENING CONFECTIONERY,COCNT (HYDR)&OR PALM KERNEL (HYDR)","OIL,PNUT,SALAD OR COOKING","SHORTENING FRYING HVY DUTY,SOYBN HYDR,LINOLEIC (LESS THAN 1%",884.0,12.224862426035504,100.0,28.47822187560928,12.175499856774563,329.0420451215939,76.69220283533261
"SHORTENING INDUSTRIAL,SOYBN (HYDR)&CTTNSD","OIL,PNUT,SALAD OR COOKING","SHORTENING FRYING HVY DUTY,SOYBN HYDR,LINOLEIC (LESS THAN 1%",884.0,12.224862426035504,100.0,28.47822187560928,12.175499856774563,329.0420451215939,76.69220283533261
"SHORTENING FRYING (HVY DUTY),PALM (HYDR)","OIL,PNUT,SALAD OR COOKING","SHORTENING FRYING HVY DUTY,SOYBN HYDR,LINOLEIC (LESS THAN 1%",884.0,12.224862426035504,100.0,28.47822187560928,12.175499856774563,329.0420451215939,76.69220283533261
SHORTENING HOUSEHOLD SOYBN (HYDR)&PALM,"OIL,PNUT,SALAD OR COOKING","SHORTENING FRYING HVY DUTY,SOYBN HYDR,LINOLEIC (LESS THAN 1%",884.0,12.224862426035504,100.0,28.47822187560928,12.175499856774563,329.0420451215939,76.69220283533261
"SHORTENING FRYING HVY DUTY,SOYBN HYDR,LINOLEIC (LESS THAN 1%","OIL,PNUT,SALAD OR COOKING",SHORTENING HOUSEHOLD SOYBN (HYDR)&PALM,884.0,12.224862426035504,100.0,28.47822187560928,12.175499856774563,329.0420451215939,76.69220283533261
"SHORTENING,CONFECTIONERY,FRACTIONATED PALM","OIL,PNUT,SALAD OR COOKING",SHORTENING HOUSEHOLD SOYBN (HYDR)&PALM,884.0,12.224862426035504,100.0,28.47822187560928,12.175499856774563,329.0420451215939,76.69220283533261
"OIL,NUTMEG BUTTER","OIL,PNUT,SALAD OR COOKING",SHORTENING HOUSEHOLD SOYBN (HYDR)&PALM,884.0,12.224862426035504,100.0,28.47822187560928,12.175499856774563,329.0420451215939,76.69220283533261
"OIL,UCUHUBA BUTTER","OIL,PNUT,SALAD OR COOKING",SHORTENING HOUSEHOLD SOYBN (HYDR)&PALM,884.0,12.224862426035504,100.0,28.47822187560928,12.175499856774563,329.0420451215939,76.69220283533261
"FAT,DUCK","FAT,GOOSE","SHORTENING FRYING (HVY DUTY),BF TALLOW&CTTNSD",882.0,12.224862426035504,99.8,28.47822187560928,12.175499856774563,329.0420451215939,100.0
"FAT,TURKEY","FAT,MUTTON TALLOW","FAT,GOOSE",900.0,12.224862426035504,99.8,28.47822187560928,12.175499856774563,329.0420451215939,102.0
"FAT,GOOSE","SHORTENING FRYING (HVY DUTY),BF TALLOW&CTTNSD","FAT,TURKEY",900.0,12.224862426035504,99.8,28.47822187560928,12.175499856774563,329.0420451215939,100.0
"OIL,AVOCADO","OIL,PNUT,SALAD OR COOKING",SHORTENING HOUSEHOLD SOYBN (HYDR)&PALM,884.0,12.224862426035504,100.0,28.47822187560928,12.175499856774563,329.0420451215939,76.69220283533261
"OIL,CANOLA","OIL,PNUT,SALAD OR COOKING",SHORTENING HOUSEHOLD SOYBN (HYDR)&PALM,884.0,12.224862426035504,100.0,28.47822187560928,12.175499856774563,329.0420451215939,76.69220283533261
"OIL,MUSTARD","OIL,PNUT,SALAD OR COOKING",SHORTENING HOUSEHOLD SOYBN (HYDR)&PALM,884.0,12.224862426035504,100.0,28.47822187560928,12.175499856774563,329.0420451215939,76.69220283533261
"OIL,SUNFLOWER,HI OLEIC (70% & OVER)","OIL,PNUT,SALAD OR COOKING",SHORTENING HOUSEHOLD SOYBN (HYDR)&PALM,884.0,12.224862426035504,100.0,28.47822187560928,12.175499856774563,329.0420451215939,76.69220283533261
"MARGARINE-LIKE,MARGARINE-BUTTER BLEND,SOYBN OIL & BUTTER","MARGARINE,REG,80% FAT,COMP,TUB,W/ SALT","MARGARINE,REG,80% FAT,COMP,TUB,W/ SALT,W/ ADDED VITAMIN D",714.0,0.31,80.32,0.77,12.175499856774563,633.0,12.0
"SHORTENING,SPL PURPOSE FOR CAKES&FROSTINGS,SOYBN (HYDR)","OIL,PNUT,SALAD OR COOKING",SHORTENING HOUSEHOLD SOYBN (HYDR)&PALM,884.0,12.224862426035504,100.0,28.47822187560928,12.175499856774563,329.0420451215939,76.69220283533261
"SHORTENING,SPL PURPOSE FOR BAKING,SOYBN (HYDR) PALM&CTTNSD","OIL,PNUT,SALAD OR COOKING",SHORTENING HOUSEHOLD SOYBN (HYDR)&PALM,884.0,12.224862426035504,100.0,28.47822187560928,12.175499856774563,329.0420451215939,76.69220283533261
